,bedroom,bathroom,sqm,developer,built_year,district,luxuary,public,BRT_distance,BTS_distance,MRT_distance,APL_distance,Air-Conditioning,Audio System,BBQ pits,Basketball court,Bathtub,Bed,Billiards room,Broadband Internet,Club,Clubhouse,Colonial Building,Corner Unit,DVD Player,Dishwasher,Driving range,Dryer,Fridge,Function room,Game room,Ground Floor,Hairdryer,High Floor,ISDN,Internet Connection,Iron / Ironing Board,Jacuzzi,Karaoke,Kitchen,Launderette,Library,Lounge,Low Floor,Maidsroom,Mini golf range,Mini-Mart,Multi-purpose hall,Original Condition,Outdoor Patio,Own Chiller Plant,Pantry,Pavillion,Penthouse,Playground,Private Garden,Private Pool,Putting Green,Reflexology Path,Renovated,Roof Terrace,SCV/SMATV System,Sea View,Sky Lounge,Squash court,Tennis courts,Vacuum Cleaner,Walk-in-wardrobe,Washing Machine,Water Heater,balcony,car park,cook,fitness,furniture,nan,pool,sauna,security,tv,view,importance_values_bedroom,importance_values_bathroom,importance_values_sqm,importance_values_built_year,importance_values_luxuary,importance_values_public,importance_values_BRT_distance,importance_values_BTS_distance,importance_values_MRT_distance,importance_values_APL_distance,importance_values_Air-Conditioning,importance_values_Audio System,importance_values_BBQ pits,importance_values_Basketball court,importance_values_Bathtub,importance_values_Bed,importance_values_Billiards room,importance_values_Broadband Internet,importance_values_Club,importance_values_Clubhouse,importance_values_Colonial Building,importance_values_Corner Unit,importance_values_DVD Player,importance_values_Dishwasher,importance_values_Driving range,importance_values_Dryer,importance_values_Fridge,importance_values_Function room,importance_values_Game room,importance_values_Ground Floor,importance_values_Hairdryer,importance_values_High Floor,importance_values_ISDN,importance_values_Internet Connection,importance_values_Iron / Ironing Board,importance_values_Jacuzzi,importance_values_Karaoke,importance_values_Kitchen,importance_values_Launderette,importance_values_Library,importance_values_Lounge,importance_values_Low Floor,importance_values_Maidsroom,importance_values_Mini golf range,importance_values_Mini-Mart,importance_values_Multi-purpose hall,importance_values_Original Condition,importance_values_Outdoor Patio,importance_values_Own Chiller Plant,importance_values_Pantry,importance_values_Pavillion,importance_values_Penthouse,importance_values_Playground,importance_values_Private Garden,importance_values_Private Pool,importance_values_Putting Green,importance_values_Reflexology Path,importance_values_Renovated,importance_values_Roof Terrace,importance_values_SCV/SMATV System,importance_values_Sea View,importance_values_Sky Lounge,importance_values_Squash court,importance_values_Tennis courts,importance_values_Vacuum Cleaner,importance_values_Walk-in-wardrobe,importance_values_Washing Machine,importance_values_Water Heater,importance_values_balcony,importance_values_car park,importance_values_cook,importance_values_fitness,importance_values_furniture,importance_values_nan,importance_values_pool,importance_values_sauna,importance_values_security,importance_values_tv,importance_values_view,importance_values_AP Thailand - เอพี (ไทยแลนด์) จำกัด (มหาชน),importance_values_Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),importance_values_L.P.N. Development - แอล.พี.เอ็น.ดีเวลลอปเม้นท์ จำกัด (มหาชน),importance_values_Land and Houses - แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),importance_values_Magnolia Quality Development - แมกโนเลีย ควอลิตี้ ดีเวล็อปเม้นต์ คอร์ปอเรชั่น จำกัด,importance_values_Major Development - เมเจอร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),importance_values_Noble Development - โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),importance_values_Pace Development - เพซ ดีเวลลอปเมนท์ คอร์ปอเรชั่น จำกัด (มหาชน),importance_values_Pruksa Real Estate - พฤกษา เรียลเอสเตท จำกัด (มหาชน),importance_values_Quality Houses - ควอลิตี้ เฮ้าส์ จำกัด (มหาชน),importance_values_Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),importance_values_SC Asset - เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),importance_values_Sansiri - แสนสิริ จำกัด (มหาชน),importance_values_Supalai - ศุภาลัย จำกัด (มหาชน),importance_values_TCC Capital land - ทีซีซี แคปปิตอล แลนด์ จำกัด,importance_values_The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,importance_values_no,importance_values_Bang Rak,importance_values_Chatuchak,importance_values_Huai Khwang,importance_values_Khlong San,importance_values_Khlong Toei,importance_values_Pathum Wan,importance_values_Phra Khanong,importance_values_Ratchathewi,importance_values_Sathon,importance_values_Watthana
128,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,-0.63,-0.67,-1.24,-0.64,-0.48,0.28,-0.66,0.66,0.37,1.37,-0.06,-0.21,-0.10,-0.18,2.39,-0.03,-0.10,-0.21,-0.22,-0.03,-0.17,-0.03,-0.06,-0.09,-0.03,2.62,-0.20,-0.18,0.00,-0.03,-0.32,0.00,-0.08,-0.05,-0.32,-0.11,-0.10,-0.19,-0.40,-0.27,-0.06,-0.08,-0.12,-0.29,-0.15,-0.09,-0.05,0.00,-0.03,-0.22,-0.03,-0.27,-0.32,0.00,0.00,-0.07,2.68,-0.06,-0.18,0.00,-0.29,-0.07,-0.12,-0.09,-0.13,-0.33,2.25,1.54,-0.76,2.24,-1.09,2.46,-0.05,-1.06,-0.63,-1.30,2.59,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
129,2.0,2.0,140.0,no,2014.0,Khlong San,0.0,0.0,10000.0,920.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.81,1.64,-0.07,-0.64,-0.48,0.28,-0.52,0.66,0.37,-0.73,-0.06,-0.21,-0.10,-0.18,-0.42,-0.03,-0.10,-0.21,-0.22,-0.03,-0.17,-0.03,-0.06,-0.09,-0.03,-0.38,-0.20,-0.18,0.00,-0.03,-0.32,0.00,-0.08,-0.05,-0.32,-0.11,-0.10,-0.19,-0.40,-0.27,-0.06,-0.08,-0.12,-0.29,-0.15,-0.09,-0.05,0.00,-0.03,-0.22,-0.03,-0.27,-0.32,0.00,0.00,-0.07,-0.37,-0.06,-0.18,0.00,-0.29,-0.07,-0.12,-0.09,-0.13,-0.33,-0.44,-0.65,-0.76,-0.45,0.91,-0.41,-0.05,0.94,-0.63,0.77,-0.39,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
131,2.0,2.0,127.87,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2018.0,Khlong San,4.0,7.0,10000.0,330.0,10000.0,10000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.81,1.37,0.86,3.73,4.66,0.28,-0.66,0.66,0.37,-0.73,-0.06,4.80,-0.10,-0.18,-0.42,-0.03,-0.10,4.66,-0.22,-0.03,-0.17,-0.03,-0.06,-0.09,-0.03,-0.38,-0.20,5.55,0.00,-0.03,-0.32,0.00,-0.08,-0.05,3.14,-0.11,-0.10,-0.19,2.52,3.69,-0.06,-0.08,8.13,3.48,-0.15,-0.09,-0.05,0.00,-0.03,-0.22,-0.03,3.74,-0.32,0.00,0.00,-0.07,-0.37,-0.06,-0.18,0.00,-0.29,-0.07,-0.12,-0.09,-0.13,-0.33,-0.44,-0.65,-0.76,-0.45,0.91,-0.41,-0.05,0.94,1.59,0.77,-0.39,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
133,2.0,2.0,114.0,no,2006.0,Sathon,0.0,0.0,650.0,650.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.81,1.07,-1.94,-0.64,-0.48,-3.51,-0.58,0.66,0.37,-0.73,-0.06,-0.21,-0.10,-0.18,-0.42,-0.03,-0.10,-0.21,-0.22,-0.03,-0.17,-0.03,-0.06,-0.09,-0.03,-0.38,-0.20,-0.18,0.00,-0.03,-0.32,0.00,-0.08,-0.05,-0.32,-0.11,-0.10,-0.19,-0.40,-0.27,-0.06,-0.08,-0.12,-0.29,-0.15,-0.09,-0.05,0.00,-0.03,-0.22,-0.03,-0.27,-0.32,0.00,0.00,-0.07,-0.37,-0.06,-0.18,0.00,-0.29,-0.07,-0.12,-0.09,-0.13,-0.33,-0.44,-0.65,1.32,-0.45,-1.09,-0.41,-0.05,0.94,-0.63,0.77,-0.39,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
135,1.0,1.0,33.4,no,2010.0,Khlong Toei,0.0,0.0,10000.0,400.0,10000.0,10000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,-0.63,-0.68,-1.01,-0.64,-0.48,0.28,-0.64,0.66,0.37,1.37,-0.06,-0.21,-0.10,-0.18,2.39,-0.03,-0.10,-0.21,-0.22,-0.03,-0.17,-0.03,-0.06,-0.09,-0.03,2.62,-0.20,-0.18,0.00,-0.03,3.13,0.00,-0.08,-0.05,-0.32,-0.11,-0.10,-0.19,-0.40,-0.27,-0.06,-0.08,-0.12,-0.29,-0.15,-0.09,-0.05,0.00,-0.03,-0.22,-0.03,-0.27,-0.32,0.00,0.00,-0.07,-0.37,-0.06,-0.18,0.00,-0.29,-0.07,-0.12,-0.09,-0.13,2.99,2.25,1.54,-0.76,2.24,-1.09,2.46,-0.05,-1.06,-0.63,-1.30,2.59,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
137,2.0,2.0,151.0,Pace Development - เพซ ดีเวลลอปเมนท์ คอร์ปอเรชั่น จำกัด (มหาชน),2016.0,Bang Rak,0.0,0.0,10000.0,210.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.81,1.88,0.39,-0.64,-0.48,0.28,-0.68,0.66,0.37,-0.73,-0.06,-0.21,-0.10,-0.18,-0.42,-0.03,-0.10,-0.21,-0.22,-0.03,-0.17,-0.03,-0.06,-0.09,-0.03,-0.38,-0.20,-0.18,0.00,-0.03,-0.32,0.00,-0.08,-0.05,-0.32,-0.11,-0.10,-0.19,-0.40,-0.27,-0.06,-0.08,-0.12,-0.29,-0.15,-0.09,-0.05,0.00,-0.03,-0.22,-0.03,-0.27,-0.32,0.00,0.00,-0.07,-0.37,-0.06,-0.18,0.00,-0.29,-0.07,-0.12,-0.09,-0.13,-0.33,-0.44,-0.65,1.32,-0.45,0.91,-0.41,-0.05,0.94,-0.63,0.77,-0.39,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,1.0,1.0,93.28,no,2014.0,Khlong San,0.0,0.0,10000.0,920.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,-0.63,0.62,-0.07,-0.64,-0.48,0.28,-0.52,0.66,0.37,-0.73,-0.06,-0.21,-0.10,-0.18,-0.42,-0.03,-0.10,-0.21,-0.22,-0.03,-0.17,-0.03,-0.06,-0.09,-0.03,-0.38,-0.20,-0.18,0.00,-0.03,-0.32,0.00,-0.08,-0.05,-0.32,-0.11,-0.10,-0.19,-0.40,-0.27,-0.06,-0.08,-0.12,-0.29,-0.15,-0.09,-0.05,0.00,-0.03,-0.22,-0.03,-0.27,-0.32,0.00,0.00,-0.07,-0.37,-0.06,-0.18,0.00,-0.29,-0.07,-0.12,-0.09,-0.13,-0.33,-0.44,-0.65,-0.76,-0.45,0.91,-0.41,-0.05,0.94,-0.63,0.77,-0.39,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
141,2.0,1.0,105.0,no,2012.0,Sathon,1.0,0.0,260.0,140.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,-0.63,0.88,-0.54,0.45,-0.48,-3.67,-0.70,0.66,0.37,-0.73,-0.06,-0.21,-0.10,-0.18,-0.42,-0.03,-0.10,-0.21,-0.22,-0.03,-0.17,-0.03,-0.06,-0.09,-0.03,-0.38,-0.20,-0.18,0.00,-0.03,-0.32,0.00,-0.08,-0.05,3.14,-0.11,-0.10,-0.19,-0.40,-0.27,-0.06,-0.08,-0.12,-0.29,-0.15,-0.09,-0.05,0.00,-0.03,-0.22,-0.03,-0.27,-0.32,0.00,0.00,-0.07,-0.37,-0.06,-0.18,0.00,-0.29,-0.07,-0.12,-0.09,-0.13,-0.33,-0.44,-0.65,-0.76,-0.45,0.91,-0.41,-0.05,0.94,-0.63,0.77,-0.39,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
143,1.0,1.0,27.0,Sansiri - แสนสิริ จำกัด (มหาชน),2020.0,Phra Khanong,1.0,2.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,-0.63,-0.82,1.33,0.45,0.99,0.28,1.58,0.66,0.37,-0.73,-0.06,-0.21,-0.10,-0.18,-0.42,-0.03,-0.10,-0.21,-0.22,-0.03,-0.17,-0.03,-0.06,-0.09,-0.03,-0.38,-0.20,5.55,0.00,-0.03,-0.32,0.00,-0.08,-0.05,3.14,-0.11,-0.10,-0.19,2.52,-0.27,-0.06,-0.08,-0.12,-0.29,-0.15,-0.09,-0.05,0.00,-0.03,-0.22,-0.03,-0.27,-0.32,0.00,0.00,-0.07,-0.37,-0.06,-0.18,0.00,-0.29,-0.07,-0.12,-0.09,-0.13,-0.33,-0.44,-0.65,1.32,-0.45,0.91,-0.41,-0.05,0.94,-0.63,0.77,-0.39,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
